query,source,object_id,title,artist,filename,image_path,object_url,is_public_domain
portrait painting,met,78145,Portrait of Bodhidharma,Hakuin Ekaku,artwork2_met_712_hakuin-ekaku_portrait-of-bodhidharma.jpg,artworks/artwork2_met_712_hakuin-ekaku_portrait-of-bodhidharma.jpg,https://www.metmuseum.org/art/collection/search/78145,True
portrait painting,met,437859,Portrait of a Woman,Giovanni di Francesco del Cervelliera,artwork2_met_713_giovanni-di-francesco-del-cervelliera_portrait-of-a-woman.jpg,artworks/artwork2_met_713_giovanni-di-francesco-del-cervelliera_portrait-of-a-woman.jpg,https://www.metmuseum.org/art/collection/search/437859,True
oil painting,met,764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown,artwork2_met_714_unknown_christ-carrying-the-cross-called-the-lord-of-the-f.jpg,artworks/artwork2_met_714_unknown_christ-carrying-the-cross-called-the-lord-of-the-f.jpg,https://www.metmuseum.org/art/collection/search/764095,True
watercolor landscape,met,347927,Songs of Innocence: The Divine Image,William Blake,artwork2_met_715_william-blake_songs-of-innocence-the-divine-image.jpg,artworks/artwork2_met_715_william-blake_songs-of-innocence-the-divine-image.jpg,https://www.metmuseum.org/art/collection/search/347927,True
watercolor landscape,met,451287,"""Page of Calligraphy Illuminated with Animals and Plants in a Field of Flowers"", Folio from the Shah Jahan Album",Nanha,artwork2_met_716_nanha_page-of-calligraphy-illuminated-with-animals-and-p.jpg,artworks/artwork2_met_716_nanha_page-of-calligraphy-illuminated-with-animals-and-p.jpg,https://www.metmuseum.org/art/collection/search/451287,True
watercolor landscape,met,453385,Anthology of Persian Poetry in Oblong Format (Safina),Sultan Muhammad Nur,artwork2_met_717_sultan-muhammad-nur_anthology-of-persian-poetry-in-oblong-format-safin.jpg,artworks/artwork2_met_717_sultan-muhammad-nur_anthology-of-persian-poetry-in-oblong-format-safin.jpg,https://www.metmuseum.org/art/collection/search/453385,True
watercolor landscape,met,451726,"""Shaikh San'an beneath the Window of the Christian Maiden"", Folio18r  from a Mantiq al-Tayr (Language of the Birds)",Farid al-Din `Attar,artwork2_met_718_farid-al-din-attar_shaikh-sanan-beneath-the-window-of-the-christian-m.jpg,artworks/artwork2_met_718_farid-al-din-attar_shaikh-sanan-beneath-the-window-of-the-christian-m.jpg,https://www.metmuseum.org/art/collection/search/451726,True
watercolor landscape,met,452651,"""Isfandiyar's Third Course: He Slays a Dragon"", Folio from a Shahnama (Book of Kings)",Abu'l Qasim Firdausi,artwork2_met_719_abul-qasim-firdausi_isfandiyars-third-course-he-slays-a-dragon-folio-f.jpg,artworks/artwork2_met_719_abul-qasim-firdausi_isfandiyars-third-course-he-slays-a-dragon-folio-f.jpg,https://www.metmuseum.org/art/collection/search/452651,True
watercolor landscape,met,453895,Youth and Dervish,,artwork2_met_720_unknown_youth-and-dervish.jpg,artworks/artwork2_met_720_unknown_youth-and-dervish.jpg,https://www.metmuseum.org/art/collection/search/453895,True
watercolor landscape,met,697201,"The West Wind, Lynmouth",Sir Edward John Poynter,artwork2_met_721_sir-edward-john-poynter_the-west-wind-lynmouth.jpg,artworks/artwork2_met_721_sir-edward-john-poynter_the-west-wind-lynmouth.jpg,https://www.metmuseum.org/art/collection/search/697201,True
watercolor landscape,met,451289,"""Unwan"", Folio from the Shah Jahan Album",Mir 'Ali Haravi,artwork2_met_722_mir-ali-haravi_unwan-folio-from-the-shah-jahan-album.jpg,artworks/artwork2_met_722_mir-ali-haravi_unwan-folio-from-the-shah-jahan-album.jpg,https://www.metmuseum.org/art/collection/search/451289,True
watercolor landscape,met,775454,Valentine with lace paper and faux pearls,Esther Howland,artwork2_met_723_esther-howland_valentine-with-lace-paper-and-faux-pearls.jpg,artworks/artwork2_met_723_esther-howland_valentine-with-lace-paper-and-faux-pearls.jpg,https://www.metmuseum.org/art/collection/search/775454,True
marble sculpture,met,206989,Commode à vantaux,David Roentgen,artwork2_met_724_david-roentgen_commode-à-vantaux.jpg,artworks/artwork2_met_724_david-roentgen_commode-à-vantaux.jpg,https://www.metmuseum.org/art/collection/search/206989,True
marble sculpture,met,838076,Virgin and Child Enthroned,Bohemian Painter,artwork2_met_725_bohemian-painter_virgin-and-child-enthroned.jpg,artworks/artwork2_met_725_bohemian-painter_virgin-and-child-enthroned.jpg,https://www.metmuseum.org/art/collection/search/838076,True
marble sculpture,met,448959,Head from a Figure with a Beaded Headdress,,artwork2_met_726_unknown_head-from-a-figure-with-a-beaded-headdress.jpg,artworks/artwork2_met_726_unknown_head-from-a-figure-with-a-beaded-headdress.jpg,https://www.metmuseum.org/art/collection/search/448959,True
marble sculpture,met,340575,Design Fragment for the Left Side of the 'Fonte Gaia' in Siena,Jacopo della Quercia (Jacopo di Pietro d’Angelo di Guarnieri),artwork2_met_727_jacopo-della-quercia-jacopo-di-pietro-da_design-fragment-for-the-left-side-of-the-fonte-gai.jpg,artworks/artwork2_met_727_jacopo-della-quercia-jacopo-di-pietro-da_design-fragment-for-the-left-side-of-the-fonte-gai.jpg,https://www.metmuseum.org/art/collection/search/340575,True
marble sculpture,met,435645,Madonna and Child,Jacopo Bellini,artwork2_met_728_jacopo-bellini_madonna-and-child.jpg,artworks/artwork2_met_728_jacopo-bellini_madonna-and-child.jpg,https://www.metmuseum.org/art/collection/search/435645,True
bronze sculpture,met,208898,Two wall sconces (Bras de cheminée),Jean-Claude Duplessis,artwork2_met_729_jean-claude-duplessis_two-wall-sconces-bras-de-cheminée.jpg,artworks/artwork2_met_729_jean-claude-duplessis_two-wall-sconces-bras-de-cheminée.jpg,https://www.metmuseum.org/art/collection/search/208898,True
bronze sculpture,met,248466,Bronze statuette of a philosopher on a lamp stand,,artwork2_met_730_unknown_bronze-statuette-of-a-philosopher-on-a-lamp-stand.jpg,artworks/artwork2_met_730_unknown_bronze-statuette-of-a-philosopher-on-a-lamp-stand.jpg,https://www.metmuseum.org/art/collection/search/248466,True
bronze sculpture,met,196497,"Horse Trotting, the Feet Not Touching the Ground",Edgar Degas,artwork2_met_731_edgar-degas_horse-trotting-the-feet-not-touching-the-ground.jpg,artworks/artwork2_met_731_edgar-degas_horse-trotting-the-feet-not-touching-the-ground.jpg,https://www.metmuseum.org/art/collection/search/196497,True
bronze sculpture,met,547902,Priest in a leopard skin cloak with an inscription and Osiris on his skirt,,artwork2_met_732_unknown_priest-in-a-leopard-skin-cloak-with-an-inscription.jpg,artworks/artwork2_met_732_unknown_priest-in-a-leopard-skin-cloak-with-an-inscription.jpg,https://www.metmuseum.org/art/collection/search/547902,True
bronze sculpture,met,40706,One of a Pair of Vases with Dragon Handles,,artwork2_met_733_unknown_one-of-a-pair-of-vases-with-dragon-handles.jpg,artworks/artwork2_met_733_unknown_one-of-a-pair-of-vases-with-dragon-handles.jpg,https://www.metmuseum.org/art/collection/search/40706,True
bronze sculpture,met,702924,Alphonse de Gisors (1796–1866),Pierre Jean David d'Angers,artwork2_met_734_pierre-jean-david-dangers_alphonse-de-gisors-17961866.jpg,artworks/artwork2_met_734_pierre-jean-david-dangers_alphonse-de-gisors-17961866.jpg,https://www.metmuseum.org/art/collection/search/702924,True
bronze sculpture,met,53167,Flying Apsaras (Hiten),,artwork2_met_735_unknown_flying-apsaras-hiten.jpg,artworks/artwork2_met_735_unknown_flying-apsaras-hiten.jpg,https://www.metmuseum.org/art/collection/search/53167,True
bronze sculpture,met,328593,Monstrous male figure,,artwork2_met_736_unknown_monstrous-male-figure.jpg,artworks/artwork2_met_736_unknown_monstrous-male-figure.jpg,https://www.metmuseum.org/art/collection/search/328593,True
terracotta relief,met,461152,Model for a portrait medal of Francesco Redi,Massimiliano Soldani,artwork2_met_737_massimiliano-soldani_model-for-a-portrait-medal-of-francesco-redi.jpg,artworks/artwork2_met_737_massimiliano-soldani_model-for-a-portrait-medal-of-francesco-redi.jpg,https://www.metmuseum.org/art/collection/search/461152,True
tapestry medieval,met,238683,Panel for a skirt or petticoat,,artwork2_met_738_unknown_panel-for-a-skirt-or-petticoat.jpg,artworks/artwork2_met_738_unknown_panel-for-a-skirt-or-petticoat.jpg,https://www.metmuseum.org/art/collection/search/238683,True
illumination manuscript,met,468350,Case (étui) with an amorous inscription,,artwork2_met_739_unknown_case-étui-with-an-amorous-inscription.jpg,artworks/artwork2_met_739_unknown_case-étui-with-an-amorous-inscription.jpg,https://www.metmuseum.org/art/collection/search/468350,True
illumination manuscript,met,452652,"""Isfandiyar's Fourth Course: He Slays a Sorceress"", Folio from a Shahnama (Book of Kings) of Firdausi",Abu'l Qasim Firdausi,artwork2_met_740_abul-qasim-firdausi_isfandiyars-fourth-course-he-slays-a-sorceress-fol.jpg,artworks/artwork2_met_740_abul-qasim-firdausi_isfandiyars-fourth-course-he-slays-a-sorceress-fol.jpg,https://www.metmuseum.org/art/collection/search/452652,True
illumination manuscript,met,452121,"""Sam Seals His Pact with Sindukht"", Folio 85v from the Shahnama (Book of Kings) of Shah Tahmasp",Abu'l Qasim Firdausi,artwork2_met_741_abul-qasim-firdausi_sam-seals-his-pact-with-sindukht-folio-85v-from-th.jpg,artworks/artwork2_met_741_abul-qasim-firdausi_sam-seals-his-pact-with-sindukht-folio-85v-from-th.jpg,https://www.metmuseum.org/art/collection/search/452121,True
woodcut print,met,337950,The Sudarium,Hans Schlaffer of Ulm,artwork2_met_742_hans-schlaffer-of-ulm_the-sudarium.jpg,artworks/artwork2_met_742_hans-schlaffer-of-ulm_the-sudarium.jpg,https://www.metmuseum.org/art/collection/search/337950,True
woodcut print,met,336214,"The Whore of Babylon, from ""The Apocalypse""",Albrecht Dürer,artwork2_met_743_albrecht-dürer_the-whore-of-babylon-from-the-apocalypse.jpg,artworks/artwork2_met_743_albrecht-dürer_the-whore-of-babylon-from-the-apocalypse.jpg,https://www.metmuseum.org/art/collection/search/336214,True
etching portrait,met,811771,A Seaman's Wife's Reckoning,Thomas Rowlandson,artwork2_met_744_thomas-rowlandson_a-seamans-wifes-reckoning.jpg,artworks/artwork2_met_744_thomas-rowlandson_a-seamans-wifes-reckoning.jpg,https://www.metmuseum.org/art/collection/search/811771,True
etching portrait,met,811772,A Seaman's Wife's Reckoning,Thomas Rowlandson,artwork2_met_745_thomas-rowlandson_a-seamans-wifes-reckoning.jpg,artworks/artwork2_met_745_thomas-rowlandson_a-seamans-wifes-reckoning.jpg,https://www.metmuseum.org/art/collection/search/811772,True
lithograph art,met,767110,Valentine,Anonymous,artwork2_met_746_anonymous_valentine.jpg,artworks/artwork2_met_746_anonymous_valentine.jpg,https://www.metmuseum.org/art/collection/search/767110,True
lithograph art,met,759529,"Plate 30: Robert Macaire before his judges, from 'Caricaturana,' published in Les Robert Macaires",Honoré Daumier,artwork2_met_747_honoré-daumier_plate-30-robert-macaire-before-his-judges-from-car.jpg,artworks/artwork2_met_747_honoré-daumier_plate-30-robert-macaire-before-his-judges-from-car.jpg,https://www.metmuseum.org/art/collection/search/759529,True
lithograph art,met,435683,Island of the Dead,Arnold Böcklin,artwork2_met_748_arnold-böcklin_island-of-the-dead.jpg,artworks/artwork2_met_748_arnold-böcklin_island-of-the-dead.jpg,https://www.metmuseum.org/art/collection/search/435683,True
genre painting,met,53222,Musk Cat,Uto Gyoshi,artwork2_met_749_uto-gyoshi_musk-cat.jpg,artworks/artwork2_met_749_uto-gyoshi_musk-cat.jpg,https://www.metmuseum.org/art/collection/search/53222,True
genre painting,met,283133,Spartan Soldier,Charles Nègre,artwork2_met_750_charles-nègre_spartan-soldier.jpg,artworks/artwork2_met_750_charles-nègre_spartan-soldier.jpg,https://www.metmuseum.org/art/collection/search/283133,True
genre painting,met,828497,An Old Man with a Dog,Giacomo Ceruti,artwork2_met_751_giacomo-ceruti_an-old-man-with-a-dog.jpg,artworks/artwork2_met_751_giacomo-ceruti_an-old-man-with-a-dog.jpg,https://www.metmuseum.org/art/collection/search/828497,True
genre painting,met,40285,Poems on painting plum blossoms and bamboo,Zhao Mengjian,artwork2_met_752_zhao-mengjian_poems-on-painting-plum-blossoms-and-bamboo.jpg,artworks/artwork2_met_752_zhao-mengjian_poems-on-painting-plum-blossoms-and-bamboo.jpg,https://www.metmuseum.org/art/collection/search/40285,True
mythological painting,met,37904,Krishna Steals the Gopis’ Clothing: Page from a Dispersed Bhagavata Purana Manuscript,,artwork2_met_753_unknown_krishna-steals-the-gopis-clothing-page-from-a-disp.jpg,artworks/artwork2_met_753_unknown_krishna-steals-the-gopis-clothing-page-from-a-disp.jpg,https://www.metmuseum.org/art/collection/search/37904,True
